frequency,real,img,mag,phase
0.78,0.021514431,-0.066214654,0.069622203,-1.256637251
0.784,0.033351178,-0.052553892,0.062243174,-1.005316921
0.788,0.037041113,-0.034785378,0.050814039,-0.754003143
0.792,0.031557086,-0.017347694,0.036011,-0.502631438
0.796,0.018130501,-0.004656263,0.018718863,-0.251386506
0.8,9.12E-07,-4.81E-08,9.13E-07,-0.052731208
0.804,-0.018391493,-0.004718075,0.018987028,-2.890472233
0.808,-0.032439618,-0.017833162,0.037018245,-2.638953668
0.812,-0.038610318,-0.036257372,0.052965589,-2.387612207
0.816,-0.035246084,-0.055534088,0.065774777,-2.13632254
0.82,-0.023053926,-0.070949151,0.074600708,-1.884970248
0.824,-0.004950212,-0.078664988,0.078820587,-1.633641233
0.828,0.01463553,-0.076726601,0.078109987,-1.382311477
0.832,0.030844837,-0.065549812,0.072444336,-1.130980395
0.836,0.039591707,-0.047858534,0.062112338,-0.879649855
0.84,0.038594546,-0.028041287,0.047705898,-0.628330537
0.844,0.027969875,-0.011075055,0.030082731,-0.377021965
0.848,0.010232156,-0.001291348,0.010313321,-0.125541207
0.852,-0.010298382,-0.001301063,0.010380242,-3.015921787
0.856,-0.028543847,-0.011300438,0.030699367,-2.764627891
0.86,-0.039926403,-0.029006803,0.049350909,-2.513297508
0.864,-0.041516787,-0.050181429,0.065129252,-2.26198336
0.868,-0.032787357,-0.069674719,0.077003748,-2.010630136
0.872,-0.015766233,-0.082667793,0.084157817,-1.759251127
0.876,0.005404554,-0.085917904,0.08608772,-1.507975402
0.88,0.025521069,-0.078547649,0.082589698,-1.256644078
0.884,0.039551934,-0.062325253,0.073815938,-1.005319652
0.888,0.043921648,-0.041243877,0.06025088,-0.753966554
0.892,0.037403174,-0.020567466,0.042685103,-0.502755366
0.896,0.021488162,-0.00551817,0.022185385,-0.251368803
0.9,8.89E-07,-6.98E-08,8.91E-07,-0.078395199
0.904,-0.021776769,-0.005591164,0.022483078,-2.890272155
0.908,-0.038422996,-0.021121988,0.043845923,-2.638962463
0.912,-0.04572169,-0.042937676,0.062722539,-2.387585407
0.916,-0.041725967,-0.065756666,0.077878081,-2.136234407
0.92,-0.027291367,-0.083988483,0.08831129,-1.88497557
0.924,-0.005859814,-0.093114026,0.093298228,-1.633645037
0.928,0.017320414,-0.09080489,0.092442008,-1.382317186
0.932,0.036497995,-0.077564454,0.085722507,-1.130984617
0.936,0.046842214,-0.056623963,0.073487864,-0.879658546
0.94,0.045656074,-0.03317157,0.056434299,-0.628325555
0.944,0.033083953,-0.013099641,0.035582981,-0.377011435
0.948,0.012099072,-0.001530602,0.012195502,-0.125837296
0.952,-0.012179972,-0.00153717,0.012276588,-3.016051678
0.956,-0.033749643,-0.013358534,0.036297229,-2.764701305
0.96,-0.047204067,-0.034293322,0.058346001,-2.513307954
0.964,-0.049078959,-0.059325395,0.076995109,-2.261953958
0.968,-0.038756009,-0.082359138,0.091022282,-2.010626659
0.972,-0.018640769,-0.097713416,0.099475574,-1.759301153
0.976,0.006386509,-0.101545929,0.101746563,-1.507986243
0.98,0.030161545,-0.092825928,0.097603134,-1.256631479
