frequency,real,img,mag,phase,,,,
1.755,0.069295333,-0.059184049,0.091129549,-0.706860378,,,,
1.76,0.068070154,-0.049456103,0.08413948,-0.628320852,,,,
1.765,0.065084032,-0.039883663,0.076332416,-0.549780015,,,,
1.77,0.060335898,-0.030742882,0.067716656,-0.471241614,,,,
1.775,0.053866662,-0.022312499,0.058304931,-0.392702204,,,,
1.78,0.045758411,-0.014867909,0.048113272,-0.314161244,,,,
1.785,0.036134951,-0.008675327,0.037161754,-0.235621875,,,,
1.79,0.025160288,-0.003985045,0.025473921,-0.157081447,,,,
1.795,0.013036125,-0.001025967,0.013076435,-0.078539926,,,,
1.8,2.35946E-07,-1.32516E-08,2.36318E-07,-0.056104554,,,,
1.805,-0.013678459,-0.001076585,0.013720761,-3.063047945,,,,
1.81,-0.027703649,-0.004388472,0.02804908,-2.984490314,,,,
1.815,-0.041759298,-0.01002545,0.04294588,-2.905974801,,,,
1.82,-0.055509383,-0.018036005,0.058365993,-2.82743481,,,,
1.825,-0.068611301,-0.028419572,0.074264276,-2.748895548,,,,
1.83,-0.08071789,-0.041127573,0.090591694,-2.670356174,,,,
1.835,-0.091485797,-0.056062328,0.107296951,-2.591815847,,,,
1.84,-0.10058279,-0.073077316,0.124326955,-2.513276459,,,,
1.845,-0.10769351,-0.091978341,0.141625942,-2.434737558,,,,
1.85,-0.112527505,-0.112527038,0.159137593,-2.356196564,,,,
1.855,-0.114824066,-0.134441212,0.176802165,-2.277656493,,,,
1.86,-0.114360043,-0.157402583,0.194560511,-2.199116408,,,,
1.865,-0.110953418,-0.181058712,0.212350932,-2.120577034,,,,
1.87,-0.104469174,-0.205031811,0.230112694,-2.042036184,,,,
1.875,-0.094824077,-0.228920584,0.247782646,-1.963503114,,,,
1.88,-0.081982426,-0.252314147,0.265298977,-1.884957706,,,,
1.885,-0.065972146,-0.274790911,0.282599308,-1.806418134,,,,
1.89,-0.046871834,-0.295933085,0.299622028,-1.727878063,,,,
1.895,-0.024817709,-0.315330052,0.31630517,-1.649338334,,,,
1.9,-6.95582E-07,-0.332589046,0.332589046,-1.570798418,,,,
1.905,0.027335531,-0.347339888,0.348413876,-1.492258546,,,,
1.91,0.056898054,-0.359244552,0.363722472,-1.413718576,,,,
1.915,0.088348627,-0.368001791,0.37845845,-1.335178899,,,,
1.92,0.121309385,-0.373354648,0.392568032,-1.256639226,,,,
1.925,0.155368358,-0.375094533,0.405999058,-1.178099258,,,,
1.93,0.190086178,-0.373067079,0.41870252,-1.099559542,,,,
1.935,0.225003671,-0.367173977,0.430631376,-1.021019259,,,,
1.94,0.259648715,-0.35737729,0.441741986,-0.942479783,,,,
1.945,0.293545735,-0.343699273,0.451993682,-0.863939958,,,,
1.95,0.326222415,-0.326223755,0.461349111,-0.785400218,,,,
1.955,0.357217857,-0.305094125,0.469773374,-0.706860376,,,,
1.96,0.386092861,-0.28051406,0.477237713,-0.628320524,,,,
1.965,0.412433938,-0.252740923,0.48371451,-0.54978062,,,,
1.97,0.435863183,-0.222084485,0.489181186,-0.471240903,,,,
1.975,0.45604388,-0.188900593,0.493618734,-0.392701016,,,,
1.98,0.472686789,-0.153586284,0.497012623,-0.314161249,,,,
1.985,0.485554803,-0.116572432,0.499352179,-0.235621469,,,,
1.99,0.49446691,-0.078316851,0.500630657,-0.157081579,,,,
1.995,0.499301973,-0.03929685,0.500845987,-0.078541673,,,,
