frequency,real,img,mag,phase,,
1.104,7.95E-03,2.94E-02,3.05E-02,3.27E-01,,
1.108,6.59E-03,3.04E-02,3.11E-02,3.39E-01,,
1.112,5.14E-03,3.12E-02,3.16E-02,3.52E-01,,
1.116,3.62E-03,3.18E-02,3.20E-02,3.64E-01,,
1.12,2.03E-03,3.23E-02,3.24E-02,3.77E-01,,
1.124,4.11E-04,3.27E-02,3.27E-02,3.90E-01,,
1.128,-1.24E-03,3.29E-02,3.29E-02,4.02E-01,,
1.132,-2.90E-03,3.29E-02,3.30E-02,4.15E-01,,
1.136,-4.55E-03,3.27E-02,3.30E-02,4.27E-01,,
1.14,-6.18E-03,3.24E-02,3.30E-02,4.40E-01,,
1.144,-7.77E-03,3.19E-02,3.29E-02,4.52E-01,,
1.148,-9.31E-03,3.13E-02,3.26E-02,4.65E-01,,
1.152,-1.08E-02,3.05E-02,3.23E-02,4.78E-01,,
1.156,-1.21E-02,2.96E-02,3.19E-02,4.90E-01,,
1.16,-1.34E-02,2.85E-02,3.15E-02,5.03E-01,,
1.164,-1.45E-02,2.73E-02,3.09E-02,5.15E-01,,
1.168,-1.56E-02,2.59E-02,3.02E-02,5.28E-01,,
1.172,-1.64E-02,2.45E-02,2.95E-02,5.40E-01,,
1.176,-1.71E-02,2.30E-02,2.87E-02,5.53E-01,,
1.18,-1.77E-02,2.14E-02,2.77E-02,5.65E-01,,
1.184,-1.81E-02,1.97E-02,2.67E-02,5.78E-01,,
1.188,-1.83E-02,1.80E-02,2.57E-02,5.91E-01,,
1.192,-1.83E-02,1.63E-02,2.45E-02,6.03E-01,,
1.196,-1.81E-02,1.46E-02,2.32E-02,6.16E-01,,
1.2,-1.77E-02,1.29E-02,2.19E-02,6.28E-01,,
1.204,-1.72E-02,1.12E-02,2.05E-02,6.41E-01,,
1.208,-1.65E-02,9.60E-03,1.91E-02,6.53E-01,,
1.212,-1.56E-02,8.05E-03,1.75E-02,6.66E-01,,
1.216,-1.45E-02,6.59E-03,1.59E-02,6.79E-01,,
1.22,-1.32E-02,5.24E-03,1.42E-02,6.91E-01,,
1.224,-1.18E-02,4.01E-03,1.25E-02,7.04E-01,,
1.228,-1.03E-02,2.92E-03,1.07E-02,7.16E-01,,
1.232,-8.63E-03,1.99E-03,8.86E-03,7.29E-01,,
1.236,-6.86E-03,1.22E-03,6.96E-03,7.41E-01,,
1.24,-4.98E-03,6.29E-04,5.02E-03,7.54E-01,,
1.244,-3.03E-03,2.29E-04,3.04E-03,7.67E-01,,
1.248,-1.02E-03,2.57E-05,1.02E-03,7.79E-01,,
1.252,1.03E-03,2.61E-05,1.03E-03,6.34E-03,,
1.256,3.10E-03,2.34E-04,3.11E-03,1.89E-02,,
1.26,5.17E-03,6.53E-04,5.21E-03,3.14E-02,,
1.264,7.22E-03,1.28E-03,7.33E-03,4.40E-02,,
1.268,9.22E-03,2.12E-03,9.46E-03,5.65E-02,,
1.272,1.12E-02,3.17E-03,1.16E-02,6.91E-02,,
1.276,1.30E-02,4.41E-03,1.37E-02,8.17E-02,,
1.28,1.48E-02,5.84E-03,1.59E-02,9.42E-02,,
1.284,1.64E-02,7.46E-03,1.80E-02,1.07E-01,,
1.288,1.79E-02,9.25E-03,2.01E-02,1.19E-01,,
1.292,1.92E-02,1.12E-02,2.22E-02,1.32E-01,,
1.296,2.03E-02,1.33E-02,2.43E-02,1.45E-01,,
1.3,2.13E-02,1.55E-02,2.63E-02,1.57E-01,,
1.304,2.20E-02,1.78E-02,2.83E-02,1.70E-01,,
1.308,2.26E-02,2.02E-02,3.03E-02,1.82E-01,,
1.312,2.29E-02,2.26E-02,3.22E-02,1.95E-01,,
1.316,2.30E-02,2.51E-02,3.41E-02,2.07E-01,,
1.32,2.29E-02,2.76E-02,3.59E-02,2.20E-01,,
1.324,2.25E-02,3.01E-02,3.76E-02,2.32E-01,,
1.328,2.19E-02,3.26E-02,3.92E-02,2.45E-01,,
1.332,2.10E-02,3.50E-02,4.08E-02,2.58E-01,,
1.336,1.99E-02,3.74E-02,4.23E-02,2.70E-01,,
1.34,1.86E-02,3.96E-02,4.38E-02,2.83E-01,,
1.344,1.71E-02,4.17E-02,4.51E-02,2.95E-01,,
1.348,1.54E-02,4.37E-02,4.63E-02,3.08E-01,,
1.352,1.35E-02,4.55E-02,4.75E-02,3.20E-01,,
1.356,1.15E-02,4.71E-02,4.85E-02,3.33E-01,,
1.36,9.26E-03,4.86E-02,4.94E-02,3.46E-01,,
1.364,6.92E-03,4.98E-02,5.02E-02,3.58E-01,,
1.368,4.48E-03,5.07E-02,5.09E-02,3.71E-01,,
1.372,1.94E-03,5.15E-02,5.15E-02,3.83E-01,,
1.376,-6.53E-04,5.20E-02,5.20E-02,3.96E-01,,
1.38,-3.28E-03,5.22E-02,5.23E-02,4.08E-01,,
1.384,-5.92E-03,5.22E-02,5.25E-02,4.21E-01,,
1.388,-8.55E-03,5.19E-02,5.26E-02,4.34E-01,,
1.392,-1.11E-02,5.13E-02,5.25E-02,4.46E-01,,
1.396,-1.36E-02,5.05E-02,5.23E-02,4.59E-01,,
1.4,-1.60E-02,4.94E-02,5.19E-02,4.71E-01,,
1.404,-1.83E-02,4.81E-02,5.15E-02,4.84E-01,,
1.408,-2.05E-02,4.65E-02,5.08E-02,4.96E-01,,
1.412,-2.24E-02,4.47E-02,5.01E-02,5.09E-01,,
1.416,-2.42E-02,4.28E-02,4.92E-02,5.22E-01,,
1.42,-2.58E-02,4.06E-02,4.81E-02,5.34E-01,,
1.424,-2.71E-02,3.83E-02,4.69E-02,5.47E-01,,
1.428,-2.82E-02,3.58E-02,4.56E-02,5.59E-01,,
1.432,-2.89E-02,3.33E-02,4.41E-02,5.72E-01,,
1.436,-2.95E-02,3.06E-02,4.25E-02,5.84E-01,,
1.44,-2.97E-02,2.79E-02,4.07E-02,5.97E-01,,
1.444,-2.96E-02,2.51E-02,3.88E-02,6.09E-01,,
1.448,-2.92E-02,2.24E-02,3.68E-02,6.22E-01,,
1.452,-2.85E-02,1.97E-02,3.46E-02,6.35E-01,,
1.456,-2.75E-02,1.70E-02,3.24E-02,6.47E-01,,
1.46,-2.63E-02,1.44E-02,3.00E-02,6.60E-01,,
1.464,-2.47E-02,1.20E-02,2.74E-02,6.72E-01,,
1.468,-2.28E-02,9.70E-03,2.48E-02,6.85E-01,,
1.472,-2.07E-02,7.59E-03,2.20E-02,6.97E-01,,
1.476,-1.83E-02,5.69E-03,1.92E-02,7.10E-01,,
1.48,-1.57E-02,4.03E-03,1.62E-02,7.23E-01,,
1.484,-1.29E-02,2.62E-03,1.31E-02,7.35E-01,,
1.488,-9.85E-03,1.50E-03,9.96E-03,7.48E-01,,
1.492,-6.68E-03,6.74E-04,6.72E-03,7.60E-01,,
1.496,-3.39E-03,1.71E-04,3.39E-03,7.73E-01,,
1.5,-6.36E-08,-2.54E-09,6.37E-08,-7.75E-01,,
1.504,3.46E-03,1.74E-04,3.46E-03,1.26E-02,,
1.508,6.94E-03,7.00E-04,6.98E-03,2.51E-02,,
1.512,1.04E-02,1.58E-03,1.05E-02,3.77E-02,,
1.516,1.39E-02,2.83E-03,1.42E-02,5.03E-02,,
1.52,1.72E-02,4.43E-03,1.78E-02,6.28E-02,,
1.524,2.05E-02,6.38E-03,2.15E-02,7.54E-02,,
1.528,2.36E-02,8.67E-03,2.52E-02,8.80E-02,,
1.532,2.66E-02,1.13E-02,2.89E-02,1.01E-01,,
1.536,2.93E-02,1.42E-02,3.26E-02,1.13E-01,,
1.54,3.18E-02,1.75E-02,3.63E-02,1.26E-01,,
1.544,3.40E-02,2.10E-02,3.99E-02,1.38E-01,,
1.548,3.59E-02,2.47E-02,4.36E-02,1.51E-01,,
1.552,3.75E-02,2.87E-02,4.72E-02,1.63E-01,,
1.556,3.87E-02,3.28E-02,5.07E-02,1.76E-01,,
1.56,3.95E-02,3.71E-02,5.43E-02,1.88E-01,,
1.564,4.00E-02,4.16E-02,5.77E-02,2.01E-01,,
1.568,4.01E-02,4.61E-02,6.11E-02,2.14E-01,,
1.572,3.98E-02,5.06E-02,6.43E-02,2.26E-01,,
1.576,3.90E-02,5.51E-02,6.75E-02,2.39E-01,,
1.58,3.78E-02,5.96E-02,7.06E-02,2.51E-01,,
1.584,3.62E-02,6.40E-02,7.36E-02,2.64E-01,,
1.588,3.43E-02,6.83E-02,7.64E-02,2.76E-01,,
1.592,3.19E-02,7.24E-02,7.91E-02,2.89E-01,,
1.596,2.91E-02,7.63E-02,8.17E-02,3.02E-01,,
1.6,2.60E-02,8.00E-02,8.41E-02,3.14E-01,,
1.604,2.25E-02,8.34E-02,8.63E-02,3.27E-01,,
1.608,1.87E-02,8.64E-02,8.84E-02,3.39E-01,,
